Chemical_Formula,Ag,Au,Mixing_Parameter,BCM_CE_eV,SE_Energy_eV,BCM_EE_eV,
Ag72Au237,72,237,0.310077519,-3.315446064,-51.36220784,-0.033719178,51.36220784
Ag73Au236,73,236,0.310077519,-3.312981026,-51.32118833,-0.033784498,51.32118833
Ag74Au235,74,235,0.310077519,-3.310515988,-51.27852033,-0.033849818,51.27852033
Ag75Au234,75,234,0.304909561,-3.308361376,-51.242491,-0.034225563,51.242491
Ag76Au233,76,233,0.304909561,-3.306126484,-51.22273684,-0.034521029,51.22273684
Ag77Au232,77,232,0.301033592,-3.303879862,-51.18858078,-0.034804765,51.18858078
Ag78Au231,78,231,0.295865633,-3.301725249,-51.15212522,-0.03518051,51.15212522
Ag79Au230,79,230,0.291989664,-3.299483197,-51.12228925,-0.035468815,51.12228925
Ag80Au229,80,229,0.286821705,-3.297328584,-51.08574948,-0.03584456,51.08574948
Ag81Au228,81,228,0.282945736,-3.295086532,-51.05658453,-0.036132865,51.05658453
Ag82Au227,82,227,0.277777778,-3.292931919,-51.01991599,-0.03650861,51.01991599
Ag83Au226,83,226,0.273901809,-3.290689866,-50.99146469,-0.036796916,50.99146469
Ag84Au225,84,225,0.26873385,-3.288535254,-50.9551435,-0.037172661,50.9551435
Ag85Au224,85,224,0.263565891,-3.286013004,-50.91960028,-0.037180769,50.91960028
Ag86Au223,86,223,0.258397933,-3.283490755,-50.8840674,-0.037188878,50.8840674
Ag87Au222,87,222,0.233850129,-3.28251181,-50.85717718,-0.03874029,50.85717718
Ag88Au221,88,221,0.242894057,-3.279826217,-50.82750506,-0.038585055,50.82750506
Ag89Au220,89,220,0.237726098,-3.277303968,-50.79130154,-0.038593164,50.79130154
Ag90Au219,90,219,0.213178295,-3.276325023,-50.76512121,-0.040144576,50.76512121
Ag91Au218,91,218,0.222222222,-3.27363943,-50.73660144,-0.039989341,50.73660144
Ag92Au217,92,217,0.217054264,-3.271117181,-50.70095338,-0.03999745,50.70095338
Ag93Au216,93,216,0.206718346,-3.269680828,-50.6830086,-0.041091454,50.6830086
Ag94Au215,94,215,0.209302326,-3.267000712,-50.64969144,-0.040941697,50.64969144
Ag95Au214,95,214,0.196382429,-3.264930394,-50.60947292,-0.041401736,50.60947292
Ag96Au213,96,213,0.195090439,-3.262533129,-50.58432885,-0.041534829,50.58432885
Ag97Au212,97,212,0.19379845,-3.260135863,-50.55907434,-0.041667921,50.55907434
Ag98Au211,98,211,0.19250646,-3.257738598,-50.53354262,-0.041801014,50.53354262
Ag99Au210,99,210,0.186046512,-3.25564262,-50.50858912,-0.042235393,50.50858912
Ag100Au209,100,209,0.179586563,-3.253546642,-50.48437869,-0.042669773,50.48437869
Ag101Au208,101,208,0.180878553,-3.250998733,-50.46249193,-0.042652222,50.46249193
Ag102Au207,102,207,0.174418605,-3.248902755,-50.43790498,-0.043086602,50.43790498
Ag103Au206,103,206,0.167958656,-3.246806777,-50.41337562,-0.043520982,50.41337562
Ag104Au205,104,205,0.165374677,-3.244154067,-50.38845832,-0.043398629,50.38845832
Ag105Au204,105,204,0.166666667,-3.241606158,-50.36587978,-0.043381078,50.36587978
Ag106Au203,106,203,0.158914729,-3.239916269,-50.34608704,-0.044221547,50.34608704
Ag107Au202,107,202,0.15245478,-3.237820291,-50.3224639,-0.044655926,50.3224639
Ag108Au201,108,201,0.144702842,-3.235522257,-50.29886177,-0.04488825,50.29886177
Ag109Au200,109,200,0.148578811,-3.232770315,-50.2742245,-0.044666666,50.2742245
Ag110Au199,110,199,0.144702842,-3.230523694,-50.25222461,-0.044950402,50.25222461
Ag111Au198,111,198,0.143410853,-3.228126429,-50.23189254,-0.045083495,50.23189254
Ag112Au197,112,197,0.135658915,-3.226436539,-50.21396067,-0.045923963,50.21396067
Ag113Au196,113,196,0.134366925,-3.224039274,-50.19405139,-0.046057056,50.19405139
Ag114Au195,114,195,0.127906977,-3.221943296,-50.17549677,-0.046491436,50.17549677
Ag115Au194,115,194,0.124031008,-3.219696675,-50.15882623,-0.046775172,50.15882623
Ag116Au193,116,193,0.122739018,-3.217299409,-50.13866887,-0.046908264,50.13866887
Ag117Au192,117,192,0.120155039,-3.214646699,-50.12558572,-0.046785912,50.12558572
Ag118Au191,118,191,0.112403101,-3.21295681,-50.10356512,-0.04762638,50.10356512
Ag119Au190,119,190,0.111111111,-3.210559545,-50.08421924,-0.047759473,50.08421924
Ag120Au189,120,189,0.108527132,-3.207906834,-50.07105986,-0.04763712,50.07105986
Ag121Au188,121,188,0.108527132,-3.205123663,-50.07464832,-0.047384306,50.07464832
Ag122Au187,122,187,0.090439276,-3.203698163,-50.04195187,-0.048489164,50.04195187
Ag123Au186,123,186,0.07751938,-3.202011741,-50.02770313,-0.0493331,50.02770313
Ag124Au185,124,185,0.062015504,-3.20045578,-50.00427666,-0.050307497,50.00427666
Ag125Au184,125,184,0.059431525,-3.197803069,-49.99932405,-0.050185144,49.99932405
Ag126Au183,126,183,0.043927649,-3.196247108,-49.975848,-0.051159541,49.975848
Ag127Au182,127,182,0.033591731,-3.194430225,-49.97843891,-0.051873015,49.97843891
Ag128Au181,128,181,0.018087855,-3.192874264,-49.95509292,-0.052847412,49.95509292
Ag129Au180,129,180,0.099483204,-3.18800889,-49.92923292,-0.050512396,49.92923292
Ag130Au179,130,179,0.049095607,-3.187311301,-49.91797449,-0.052345164,49.91797449
Ag131Au178,131,178,0.091731266,-3.18372122,-49.90354179,-0.051285442,49.90354179
Ag132Au177,132,177,0.091731266,-3.181413755,-49.8836453,-0.051508334,49.8836453
Ag133Au176,133,176,0.087855297,-3.179368138,-49.8728874,-0.051993074,49.8728874
Ag134Au175,134,175,0.093023256,-3.176917395,-49.85519752,-0.052072689,49.85519752
Ag135Au174,135,174,0.069767442,-3.175159466,-49.84243416,-0.052845118,49.84243416
Ag136Au173,136,173,0.090439276,-3.1723193,-49.82737514,-0.05253531,49.82737514
Ag137Au172,137,172,0.083979328,-3.170768276,-49.81681002,-0.053514644,49.81681002
Ag138Au171,138,171,0.086563307,-3.168217197,-49.7978172,-0.053493922,49.7978172
Ag139Au170,139,170,0.083979328,-3.166275086,-49.7875415,-0.054082169,49.7875415
Ag140Au169,140,169,0.07881137,-3.164282962,-49.76869906,-0.054620403,49.76869906
Ag141Au168,141,168,0.080103359,-3.161976895,-49.7498342,-0.054844694,49.7498342
Ag142Au167,142,167,0.083979328,-3.159627872,-49.74176027,-0.055026028,49.74176027
Ag143Au166,143,166,0.082687339,-3.157431611,-49.72764974,-0.055360125,49.72764974
Ag144Au165,144,165,0.083979328,-3.155125544,-49.70784819,-0.055584416,49.70784819
Ag145Au164,145,164,0.081395349,-3.152472834,-49.69178599,-0.055462063,49.69178599
Ag146Au163,146,163,0.072351421,-3.150322273,-49.6690053,-0.055841861,49.6690053
Ag147Au162,147,162,0.07622739,-3.14802207,-49.65224643,-0.056072015,49.65224643
Ag148Au161,148,161,0.073643411,-3.14536936,-49.63637967,-0.055949663,49.63637967
Ag149Au160,149,160,0.07622739,-3.142818281,-49.62240258,-0.055928941,49.62240258
Ag150Au159,150,159,0.07881137,-3.140256561,-49.59998054,-0.05589758,49.59998054
Ag151Au158,151,158,0.080103359,-3.137950494,-49.58137227,-0.05612187,49.58137227
Ag152Au157,152,157,0.089147287,-3.134888127,-49.56903519,-0.055589861,49.56903519
Ag153Au156,153,156,0.086563307,-3.132235417,-49.55640572,-0.055467508,49.55640572
Ag154Au155,154,155,0.089147287,-3.129924677,-49.53631975,-0.055687127,49.53631975
Ag155Au154,155,154,0.086563307,-3.127271967,-49.52526219,-0.055564774,49.52526219
Ag156Au153,156,153,0.083979328,-3.124619256,-49.51166742,-0.055442421,49.51166742
Ag157Au152,157,152,0.081395349,-3.121966546,-49.49881231,-0.055320069,49.49881231
Ag158Au151,158,151,0.07881137,-3.119313836,-49.48148932,-0.055197716,49.48148932
Ag159Au150,159,150,0.085271318,-3.117098759,-49.46484252,-0.055512998,49.46484252
Ag160Au149,160,149,0.082687339,-3.114446049,-49.45139978,-0.055390645,49.45139978
Ag161Au148,161,148,0.080103359,-3.111793339,-49.43753223,-0.055268292,49.43753223
Ag162Au147,162,147,0.07751938,-3.109140628,-49.422162,-0.05514594,49.422162
Ag163Au146,163,146,0.07622739,-3.106743363,-49.41434818,-0.055279032,49.41434818
Ag164Au145,164,145,0.074935401,-3.104346098,-49.40700532,-0.055412125,49.40700532
Ag165Au144,165,144,0.073643411,-3.101948833,-49.39922815,-0.055545218,49.39922815
Ag166Au143,166,143,0.073643411,-3.099165661,-49.39167699,-0.055292404,49.39167699
Ag167Au142,167,142,0.072351421,-3.096768396,-49.38527185,-0.055425496,49.38527185
Ag168Au141,168,141,0.081395349,-3.093903721,-49.38165825,-0.055091179,49.38165825
